,Category,Message,preprocessed_text,true_label,predicted_label,error_type,message_length,word_count,has_url,has_digit,has_spam_keyword
3148,ham,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night,oh thats late well have a good night and i will give u a call tomorrow iam now going to go to sleep night night,ham,ham,correct,113,25,False,False,True
3106,ham,Or remind me in a few hrs.,or remind me in a few hrs,ham,ham,correct,26,7,False,False,False
2510,ham,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...",u wake up already wat u doing u picking us up later rite im taking sq825 reaching ard 7 smth 8 like dat u can check e arrival time c ya soon,ham,ham,correct,150,32,False,True,False
376,ham,Can you say what happen,can you say what happen,ham,ham,correct,23,5,False,False,False
4942,ham,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,omg you can make a wedding chapel in frontierville why do they get all the good stuff,ham,ham,correct,87,17,False,False,False
3695,ham,Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx,ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly love me xxx,ham,ham,correct,128,27,False,False,False
3855,ham,oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight,oh ya got hip hop open haha i was thinking can go for jazz then zoom to cine actually tonight im free leh and theres a kb lesson tonight,ham,ham,correct,148,29,False,False,True
319,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,december only had your mobile 11mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on [phone],spam,spam,correct,157,27,False,True,True
4837,ham,Yay can't wait to party together!,yay cant wait to party together,ham,ham,correct,33,6,False,False,False
5424,ham,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,u horrible gal u knew dat i was going out wif him yest n u still come n ask me,ham,ham,correct,84,20,False,False,False
161,ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,keep yourself safe for me because i need you and i miss you already and i envy everyone that sees you in real life,ham,ham,correct,115,24,False,False,False
1316,ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",whenevr ur sad whenevr ur gray remembr im here 2 listn 2 watevr u wanna say jus walk wid me a little whileamp i promise ill bring back ur smile,ham,ham,correct,154,30,False,True,False
4903,spam,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,free polyphonic ringtone text super to 87131 to get your free poly tone of the week now 16 sn pobox202 nr31 7zs subscription 450pw,spam,spam,correct,134,25,False,True,True
4831,ham,"The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Maat"" which means; ""the king is dead.."" Goodmorning.. Have a good day..:)",the word checkmate in chess comes from the persian phrase shah maat which means the king is dead goodmorning have a good day,ham,ham,correct,139,23,False,False,False
4325,ham,I am not having her number sir,i am not having her number sir,ham,ham,correct,30,7,False,False,False
1526,ham,Pls pls find out from aunt nike.,pls pls find out from aunt nike,ham,ham,correct,32,7,False,False,False
1031,ham,Can not use foreign stamps in this country. Good lecture .,can not use foreign stamps in this country good lecture,ham,ham,correct,58,11,False,False,False
2153,ham,Hi kindly give us back our documents which we submitted for loan from STAPATI,hi kindly give us back our documents which we submitted for loan from stapati,ham,ham,correct,77,14,False,False,False
5564,ham,Why don't you wait 'til at least wednesday to see if you get your .,why dont you wait til at least wednesday to see if you get your,ham,ham,correct,67,15,False,False,False
3342,ham,Still i have not checked it da. . .,still i have not checked it da,ham,ham,correct,35,9,False,False,False
5566,spam,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",reminder from o2 to get 250 pounds free call credit and details of great offers pls reply 2 this text with your valid name house no and postcode,spam,ham,false_negative,147,28,False,True,True
5384,ham,How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.Im knackered and im dreading work tonight. What are thou upto tonight. X,how are you babes hope your doing ok i had a shit nights sleep i fell asleep at 5im knackered and im dreading work tonight what are thou upto tonight x,ham,ham,correct,159,31,False,True,False
4952,ham,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,hi baby im sat on the bloody bus at the mo and i wont be home until about 730 wanna do somethin later call me later ortxt back jess xx,ham,ham,correct,136,30,False,True,True
3157,ham,Long time. You remember me today.,long time you remember me today,ham,ham,correct,33,6,False,False,False
971,ham,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?",yar lor he wan 2 go c horse racing today mah so eat earlier lor i ate chicken rice u,ham,ham,correct,88,20,False,True,False
3186,ham,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.,maybe if you woke up before fucking 3 this wouldnt be a problem,ham,ham,correct,65,13,False,True,False
4358,ham,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ",hellogorgeous hows u my fone was on charge lst nitw wen u texd me hopeu ad a nice wkend as im sure u did lookin 4ward 2 cin u 2mrw luv jaz,ham,ham,correct,142,32,False,True,False
5561,ham,Get me out of this dump heap. My mom decided to come to lowes. BORING.,get me out of this dump heap my mom decided to come to lowes boring,ham,ham,correct,70,15,False,False,False
116,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",as i entered my cabin my pa said happy bday boss i felt special she askd me 4 lunch after lunch she invited me to her apartment we went there,ham,ham,correct,156,32,False,True,False
5433,ham,You're gonna have to be way more specific than that,youre gonna have to be way more specific than that,ham,ham,correct,51,10,False,False,False
3361,ham,Please attend the phone:),please attend the phone,ham,ham,correct,25,4,False,False,False
4867,ham,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?",oh shit i thought that was your trip loooooool that just makes so much more sense now grins and the sofa reference was the sleep on a couch link you sent me wasnt that how you went on your trip oh and didnt your babe go with you for that celebration with your rents,ham,ham,correct,297,60,False,False,False
3642,spam,"You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)",you can stop further club tones by replying stop mix see mytonecomenjoy html for terms club tones cost gbp450week mfl po box 1146 mk45 2wt 23,spam,spam,correct,155,26,False,True,True
3787,ham,Wat r u doing?,wat r u doing,ham,ham,correct,14,4,False,False,False
3510,ham,Hi Petey!noim ok just wanted 2 chat coz avent spoken 2 u 4 a long time-hope ur doin alrite.have good nit at js love ya am.x,hi peteynoim ok just wanted 2 chat coz avent spoken 2 u 4 a long timehope ur doin alritehave good nit at js love ya amx,ham,ham,correct,124,26,False,True,False
2220,spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,you have won a guaranteed [money] cash or a [money] prize to claim yr prize call our customer service representative on [phone] between 10am7pm cost 10p,spam,spam,correct,154,26,False,True,True
3312,ham,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN,hi darlin how was work did u get into trouble ijust talked to your mum all morning i had a really good time last night im goin out soon but call me if u can,ham,ham,correct,158,35,False,False,True
2657,ham,Feel like trying kadeem again? :V,feel like trying kadeem again v,ham,ham,correct,33,6,False,False,False
3577,ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",the sign of maturity is not when we start saying big things but actually it is when we start understanding small things have a nice evening bslvyl,ham,ham,correct,154,27,False,False,False
2535,ham,Ok enjoy . R u there in home.,ok enjoy r u there in home,ham,ham,correct,29,8,False,False,False
2121,ham,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at",argh my 3g is spotty anyway the only thing i remember from the research we did was that province and sterling were the only problemfree places we looked at,ham,ham,correct,157,29,False,True,True
2556,spam,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",freemsg you have been awarded a free mini digital camera just reply snap to collect your prize quizclub opt out stop 80122300pwk sprwm ph [phone],spam,spam,correct,156,24,False,True,True
5102,spam,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,this msg is for your mobile content order it has been resent as previous attempt failed due to network error queries to [email],spam,ham,false_negative,153,23,False,False,False
2762,ham,I am not sure about night menu. . . I know only about noon menu,i am not sure about night menu i know only about noon menu,ham,ham,correct,63,15,False,False,False
3841,ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x,hey mate hows u honeydid u ave good holiday gimmi de gossx,ham,ham,correct,62,12,False,False,False
382,ham,"Yeah sure, give me a couple minutes to track down my wallet",yeah sure give me a couple minutes to track down my wallet,ham,ham,correct,59,12,False,False,False
5504,ham,Wait . I will msg after  &lt;#&gt;  min.,wait i will msg after ltgt min,ham,ham,correct,40,8,False,False,False
3201,ham,Just curious because my cuz asked what I was up to,just curious because my cuz asked what i was up to,ham,ham,correct,50,11,False,False,False
2193,ham,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,congrats treat pendingi am not on mail for 2 dayswill mail once thrurespect mother at homecheck mails,ham,ham,correct,108,18,False,True,False
152,ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup i thk cine is better cos no need 2 go down 2 plaza mah,ham,ham,correct,59,15,False,True,False
4086,spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",orange brings you ringtones from all time chart heroes with a free hit each week go to ringtones pics on wap to stop receiving these tips reply stop,spam,ham,false_negative,154,29,False,False,True
2497,ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com,hcl chennai requires freshers for voice processexcellent english neededsalary upto ltgt call mssuman ltgt for telephonic interview via indyarockscom,ham,ham,correct,167,19,False,False,True
3886,ham,Like a personal sized or what,like a personal sized or what,ham,ham,correct,29,6,False,False,False
1008,ham,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,i dont quite know what to do i still cant get hold of anyone i cud pick you up bout 730pm and we can see if theyre in the pub,ham,ham,correct,132,30,False,True,False
2002,ham,Idea will soon get converted to live:),idea will soon get converted to live,ham,ham,correct,38,7,False,False,False
1384,ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..,please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday evei already see in netno ticket availablei want to book ticket through tackle,ham,ham,correct,203,32,False,False,False
728,ham,"Alright omw, gotta change my order to a half8th",alright omw gotta change my order to a half8th,ham,ham,correct,47,9,False,True,False
1623,spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,u have a secret admirer who is looking 2 make contact with ufind out who they rreveal who thinks ur so specialcall on [phone],spam,spam,correct,132,24,False,True,True
2833,ham,Its normally hot mail. Com you see!,its normally hot mail com you see,ham,ham,correct,35,7,False,False,False
1908,ham,ELLO BABE U OK?,ello babe u ok,ham,ham,correct,15,4,False,False,False
653,ham,"Wait, do you know if wesleys in town? I bet she does hella drugs!",wait do you know if wesleys in town i bet she does hella drugs,ham,ham,correct,65,14,False,False,False
1458,spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA,claire here am havin borin time am now alone u wanna cum over 2nite chat now [phone] hope 2 c u luv claire xx calls [money] minmoremobsemspobox45po139wa,spam,ham,false_negative,153,26,False,True,True
4345,ham,Hi:)did you asked to waheeda fathima about leave?,hidid you asked to waheeda fathima about leave,ham,ham,correct,49,8,False,False,False
2319,ham,On the way to office da..,on the way to office da,ham,ham,correct,25,6,False,False,False
4677,ham,Ü ready then call me...,ü ready then call me,ham,ham,correct,23,5,False,False,True
4053,ham,"Ya ok, then had dinner?",ya ok then had dinner,ham,ham,correct,23,5,False,False,False
703,ham,What is important is that you prevent dehydration by giving her enough fluids,what is important is that you prevent dehydration by giving her enough fluids,ham,ham,correct,77,13,False,False,False
3722,ham,Blank is Blank. But wat is blank? Lol,blank is blank but wat is blank lol,ham,ham,correct,37,8,False,False,False
3731,ham,"I guess you could be as good an excuse as any, lol.",i guess you could be as good an excuse as any lol,ham,ham,correct,51,12,False,False,False
365,ham,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",good afternoon sunshine how dawns that day are we refreshed and happy to be alive do we breathe in the air and smile i think of you my love as always,ham,ham,correct,160,34,False,False,False
1827,ham,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",dude whats up how teresa hope you have been okay when i didnt hear from these people i called them and they had received the package since dec ltgt just thot yould like to know do have a fantastic year and all the best with your reading plus if you can really really bam first aid for usmle then your work is done,ham,ham,correct,332,64,False,False,True
3755,spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,bloomberg message center 447797706009 why wait apply for your future [url] bloombergcom,spam,ham,false_negative,101,12,True,True,False
2116,ham,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;,well i wasnt available as i washob nobbing with last night so they had to ask nickey platt instead of me,ham,ham,correct,107,21,False,False,False
1004,ham,&lt;#&gt;  am I think? Should say on syllabus,ltgt am i think should say on syllabus,ham,ham,correct,45,8,False,False,False
1167,ham,I am not having her number sir,i am not having her number sir,ham,ham,correct,30,7,False,False,False
4475,spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,want explicit sex in 30 secs ring [phone] now costs 20pmin,spam,ham,false_negative,65,11,False,True,False
1248,ham,Horrible gal. Me in sch doing some stuff. How come u got mc?,horrible gal me in sch doing some stuff how come u got mc,ham,ham,correct,60,13,False,False,False
3601,ham,I know you mood off today,i know you mood off today,ham,ham,correct,25,6,False,False,False
5121,ham,"Oops I did have it,  &lt;#&gt; ?",oops i did have it ltgt,ham,ham,correct,32,7,False,False,False
2206,ham,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",haha my legs and neck are killing me and my amigos are hoping to end the night with a burn think i could swing by in like an hour,ham,ham,correct,132,29,False,False,True
5173,ham,U 2.,u 2,ham,ham,correct,4,2,False,True,False
3632,ham,Thank you princess! You are so sexy...,thank you princess you are so sexy,ham,ham,correct,38,7,False,False,False
4252,ham,Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/,omg joanna is freaking me out shes looked thru all my friends to find photos of me and then shes asking about stuff on my myspace which i havent even logged on in like a year,ham,ham,correct,183,37,False,False,False
1326,ham,Yeah jay's sort of a fucking retard,yeah jays sort of a fucking retard,ham,ham,correct,35,7,False,False,False
5358,ham,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,hmm shall i bring a bottle of wine to keep us amused just joking ill still bring a bottle red or white see you tomorrow,ham,ham,correct,125,25,False,False,True
1229,spam,FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,free entry into our [money] weekly comp just send the word enter to 84128 now 18 tc [url] cust care [phone],spam,spam,correct,122,21,True,True,True
3238,ham,Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.,ron say fri leh n he said ding tai feng cant make reservations but he said wait lor,ham,ham,correct,86,18,False,False,False
621,ham,Dear we got  &lt;#&gt;  dollars hi hi,dear we got ltgt dollars hi hi,ham,ham,correct,37,7,False,False,False
4896,spam,Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow,want the latest video handset 750 anytime any network mins half price line rental reply or call [phone] for delivery tomorrow,spam,spam,correct,132,21,False,True,True
2243,ham,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.,nope wif my sis lor aft bathing my dog then i can bathe looks like its going 2 rain soon,ham,ham,correct,96,20,False,True,False
3398,ham,Heehee that was so funny tho,heehee that was so funny tho,ham,ham,correct,28,6,False,False,False
4786,spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+",urgent call [phone] from landline your complimentary 4 ibiza holiday or [money] cash await collection sae tcs po box 434 sk3 8wp 150ppm 18,spam,spam,correct,146,23,False,True,True
1593,ham,Will it help if we propose going back again tomorrow,will it help if we propose going back again tomorrow,ham,ham,correct,52,10,False,False,False
2343,spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D,double your mins txts on orange or 12 price linerental motorola and sonyericsson with btooth freenokia free call mobileupd8 on [phone] or2optouthv9d,spam,spam,correct,160,24,False,True,True
3009,spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",loan for any purpose [money] [money] homeowners tenants welcome have you been previously refused we can still help call free [phone] or text back help,spam,spam,correct,162,28,False,True,True
912,ham,I am sorry it hurt you.,i am sorry it hurt you,ham,ham,correct,23,6,False,False,False
914,ham,Ok lor but not too early. Me still having project meeting now.,ok lor but not too early me still having project meeting now,ham,ham,correct,62,12,False,False,False
3490,ham,I'm also came to room.,im also came to room,ham,ham,correct,22,5,False,False,False
5388,ham,NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!,not much no fights it was a good nite,ham,ham,correct,40,9,False,False,False
3357,ham,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.,ok not a problem will get them a taxi c ing tomorrow and tuesday on tuesday think we r all going to the cinema,ham,ham,correct,114,24,False,False,False
3919,ham,No need to ke qi... Ü too bored izzit y suddenly thk of this...,no need to ke qi ü too bored izzit y suddenly thk of this,ham,ham,correct,63,14,False,False,False
4087,ham,Lemme know when you're here,lemme know when youre here,ham,ham,correct,27,5,False,False,False
1778,spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,buy space invaders 4 a chance 2 win orig arcade game console press 0 for games arcade std wap charge see o2coukgames 4 terms settings no purchase,spam,spam,correct,154,28,False,True,True
4954,ham,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,i lost 4 pounds since my doc visit last week woot woot now im gonna celebrate by stuffing my face,ham,ham,correct,100,20,False,True,False
166,ham,I place all ur points on e cultures module already.,i place all ur points on e cultures module already,ham,ham,correct,51,10,False,False,False
2692,ham,Hey tmr meet at bugis 930 ?,hey tmr meet at bugis 930,ham,ham,correct,27,7,False,True,False
876,spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",shop till u drop is it you either 10k 5k [money] cash or [money] travel voucher call now [phone] ntt po box cr01327bt fixedline cost 150ppm mobile vary,spam,spam,correct,156,28,False,True,True
5252,ham,You do your studies alone without anyones help. If you cant no need to study.,you do your studies alone without anyones help if you cant no need to study,ham,ham,correct,77,15,False,False,False
2254,ham,Lol enjoy role playing much?,lol enjoy role playing much,ham,ham,correct,28,5,False,False,False
3191,ham,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. Its the least a unique person like u deserve. Sleep tight or morning,hi neva worry bout da truth coz the truth will lead me 2 ur heart its the least a unique person like u deserve sleep tight or morning,ham,ham,correct,136,28,False,True,False
2084,ham,"you are sweet as well, princess. Please tell me your likes and dislikes in bed...",you are sweet as well princess please tell me your likes and dislikes in bed,ham,ham,correct,81,15,False,False,False
