,Category,Message,preprocessed_text,true_label,predicted_label,error_type,message_length,word_count,has_url,has_digit,has_spam_keyword
4527,spam,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. )",i want some cock my hubbys away i need a real man 2 satisfy me txt wife to 89938 for no strings action txt stop 2 end txt rec [money] ea otbox 731 la1 7ws,spam,ham,false_negative,162,35,False,True,True
505,spam,#ERROR!,error,spam,ham,false_negative,7,1,False,False,False
751,spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",do you realize that in about 40 years well have thousands of old ladies running around with tattoos,spam,ham,false_negative,102,18,False,True,False
607,spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867,xclusiveclubsaisai 2morow 285 soiree speciale zouk with nichols from parisfree roses 2 all ladies info [phone] [phone],spam,ham,false_negative,134,17,False,True,True
1318,spam,"Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",win the newest “harry potter and the order of the phoenix book 5 reply harry answer 5 questions chance to be the first among readers,spam,ham,false_negative,138,26,False,True,True
788,spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),ever thought about living a good life with a perfect partner just txt back name and age to join the mobile community 100psms,spam,ham,false_negative,129,23,False,True,True
3059,spam,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.,you are now unsubscribed all services get tons of sexy babes or hunks straight to your phone go to [url] no subscriptions,spam,ham,false_negative,141,22,True,False,False
4752,spam,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,your weekly coolmob tones are ready to download this weeks new tones include 1 crazy frogaxel f 2 akonlonely 3 black eyeddont p more info in n,spam,ham,false_negative,160,27,False,True,False
1507,spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,thanks for the vote now sing along with the stars with karaoke on your mobile for a free link just reply with sing now,spam,ham,false_negative,121,24,False,False,True
5098,spam,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!",themobhit the link to get a premium pink panther game the new no 1 from sugababes a crazy zebra animation or a badass hoody wallpaperall 4 free,spam,ham,false_negative,149,27,False,True,True
264,spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,hey i am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,spam,ham,false_negative,121,25,False,True,True
4060,spam,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP,moby pub quizwin a [money] high street prize if u know who the new duchess of cornwall will be txt her first name to 82277unsub stop [money] [phone] 06 sp,spam,ham,false_negative,154,29,False,True,True
1638,spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",0anetworks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g,spam,ham,false_negative,155,29,False,True,False
4587,spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876",mila age23 blonde new in uk i look sex with uk guys if u like fun with me text mtalk to 6986618 30pptxt 1st 5free [money] increments help [phone],spam,ham,false_negative,158,29,False,True,True
